PLACE,E.01,E.11,E.21
Adur,0.10719450840068984,0.15195998392746174,0.21786223569579177
Allerdale,0.040739566569745644,0.06002580733054013,0.07628702932708675
Amber Valley,0.054007294531064454,0.08371266173752971,0.11054190635092741
Arun,0.08970862482823452,0.15932703488923478,0.20204235269046147
Ashfield,0.051984701936750644,0.094399842618272,0.1697467041555218
Ashford,0.11537320942519008,0.2054201822109154,0.31118847598318966
Babergh,0.07722334862952876,0.10436781272086393,0.13738173791844227
Barnsley,0.0501955537511869,0.09151443070137093,0.14421026820885596
Barrow-in-Furness,0.052087209757339235,0.07217964580360131,0.10298595710148692
Basildon,0.12378595136774857,0.2103010216480748,0.3252309862520861
Basingstoke and Deane,0.1439533023839577,0.23078307247899443,0.3231809628073265
Bassetlaw,0.06833742372700431,0.11979418793047171,0.15806157996441084
Bath and North East Somerset,0.12910272026462213,0.19817270005513254,0.26407869392208927
Bedford,0.3425563445780059,0.46524792859614633,0.5477520345118739
Birmingham,0.5170428452569285,0.6673842830669608,0.7463620470090511
Blaby,0.15716648360420413,0.21794357248588764,0.30639900271935616
Blackburn with Darwen,0.33645600548517635,0.44071003904084904,0.5058040955317203
Blackpool,0.0834090758693448,0.1367489724943405,0.1919095674734686
Blaenau Gwent,0.04765686861622558,0.06524078147869998,0.09407809043270703
Bolsover,0.046117145106641465,0.08533875913383303,0.13318782319480557
Bolton,0.22845971587402242,0.3431937962535638,0.4620801285787857
Boston,0.07400915609780878,0.22908987144444415,0.31028555126279944
"Bournemouth, Christchurch and Poole",0.12272761769786708,0.21973572369727226,0.2994377987804186
Bracknell Forest,0.1926150216573352,0.2815843388960789,0.3767976825302518
Bradford,0.3443737512443858,0.4735092236469494,0.5146206662081777
Braintree,0.09383052855466939,0.1456904673798524,0.1944276629408838
Breckland,0.10050821677486557,0.15826210465251328,0.19298907148060448
Brentwood,0.15641847244201065,0.2176355482064738,0.32056374458919185
Bridgend,0.07244781349802423,0.0941567532971066,0.12020629574119465
Brighton and Hove,0.23059638083716957,0.3409777821513663,0.4181547638856134
Bristol,0.24335167512165176,0.39668254105404077,0.4655198902236806
Broadland,0.06571822232705607,0.09554686365663015,0.13998483322348318
Bromsgrove,0.09903221924003613,0.14162723244486353,0.198679310583468
Broxbourne,0.19135534281355815,0.32808338953901944,0.48160563278971674
Broxtowe,0.15122410917462364,0.2158920051017544,0.2957856626315663
Buckinghamshire,0.23885003868767216,0.3402226753408119,0.4502618010998665
Burnley,0.1840977840266429,0.25134637996944675,0.33620536107413845
Bury,0.18703199472532203,0.27440246531916646,0.3681340667895563
Caerphilly,0.05429937936649247,0.06910415138374057,0.08903809763127263
Calderdale,0.1736048037387481,0.2336979705569371,0.2878472985699845
Cambridge,0.3579643118388257,0.4947088310954929,0.6168034362945394
Cannock Chase,0.06585455656291225,0.08640439975299015,0.12300931415779782
Canterbury,0.1559391401984616,0.23934526505381393,0.3161171191718355
Cardiff,0.24158114432619385,0.3663263605769904,0.4542733632572151
Carlisle,0.05594142797251894,0.10471717943244717,0.1454769838678826
Carmarthenshire,0.06626726904807295,0.09728068671624757,0.12364149508630003
Castle Point,0.08296214635773944,0.11139947634757832,0.16306084024075815
Central Bedfordshire,0.13183726779195884,0.21009307812586514,0.3022590815837557
Ceredigion,0.09453902975731672,0.1445475486673249,0.1642201997776011
Charnwood,0.20589712474790137,0.2833605682166483,0.3663546532638498
Chelmsford,0.13385177727783193,0.2022659317275845,0.3145037406656187
Cheltenham,0.1429788414578833,0.22266150477949487,0.29467626905900524
Cherwell,0.15884092946909809,0.25912886939186514,0.3663868305334734
Cheshire East,0.09150246890359306,0.1393949923266173,0.2040576761982176
Cheshire West and Chester,0.08469374071368561,0.11914634128976642,0.17977778275144363
Chesterfield,0.08105150779462156,0.12125194890302884,0.15388890796409424
Chichester,0.10028003768521626,0.14313295566968026,0.1886608304138551
Chorley,0.08884915194057708,0.11472981895667411,0.15330529897873718
Colchester,0.15389817614427503,0.2464674450135694,0.3468656216955524
Conwy,0.07657144573041215,0.10629556916890481,0.13041384890371274
Copeland,0.046506302426424055,0.06920389607748079,0.08125033734305079
Cornwall,0.06838508554927493,0.09336430185436075,0.13102827213689272
Cotswold,0.08837700084378203,0.11686960716485208,0.16040506472165134
County Durham,0.05164107616389615,0.08125879076701059,0.11683180351633975
Coventry,0.3647174608164958,0.525791037725662,0.6414794437025523
Craven,0.07234692030780314,0.10433536023687927,0.12412861868199951
Crawley,0.2851592920739531,0.4538129544094445,0.5645904111561686
Dacorum,0.17764709544364538,0.2725820282787449,0.3721535366414462
Darlington,0.08458851688782314,0.13517468519964712,0.19027836995475897
Dartford,0.17410137764055866,0.31794390191446437,0.5100100520471966
Denbighshire,0.07013311297145647,0.1043993876037609,0.12628565811084744
Derby,0.2852887510706368,0.4156066340870508,0.5179428156787383
Derbyshire Dales,0.05948647077483536,0.07618992417495597,0.10193943303304925
Doncaster,0.08690400200749826,0.16932785704184966,0.24073319858618028
Dorset,0.07669753290204322,0.09900931392975418,0.12908736539752463
Dover,0.08828064938548756,0.14280105658740758,0.1873987131226271
Dudley,0.16093050895823505,0.22742037611398763,0.3205788599455626
East Cambridgeshire,0.12959069519194466,0.18718303036576373,0.23537912650348414
East Devon,0.05827810415906285,0.08574401433308526,0.12293973233790134
East Hampshire,0.09730357581728356,0.1438181846790937,0.18406699145165
East Hertfordshire,0.14201586352391377,0.19339265279145107,0.27616680053762316
East Lindsey,0.05869686002874081,0.08021899403867556,0.09874739275586515
East Riding of Yorkshire,0.061819077058076204,0.08894058361009857,0.11586436479740879
East Staffordshire,0.15311067009263668,0.25172185919238743,0.3456439304265609
East Suffolk,0.08177137076376738,0.11782867431922892,0.1480878493586658
Eastbourne,0.1572887339284395,0.23489066859528385,0.3099733376824343
Eastleigh,0.1065335726585901,0.1725301394222419,0.2315168422888246
Eden,0.0397477998474727,0.06849650578937762,0.10828711142572447
Elmbridge,0.2682121351760743,0.33793325916617617,0.41465488974790565
Epping Forest,0.18260895719141337,0.2824592694646587,0.4163048735187143
Epsom and Ewell,0.27801205173718746,0.3753346447649233,0.49230460784825075
Erewash,0.08418656872168362,0.11108462739070483,0.15916076753000213
Exeter,0.11704275026074627,0.2260928663533015,0.30448752460271383
Fareham,0.08485140691744121,0.11990807821945346,0.15485891450937156
Fenland,0.0752156820604944,0.16563191675714115,0.21944533330757812
Flintshire,0.05759949695371357,0.0916655144844832,0.13388588354125353
Folkestone and Hythe,0.11784009101792399,0.18127369453834113,0.2279345706299104
Forest of Dean,0.05612711077509367,0.07764522157376114,0.11203324675693058
Fylde,0.08483506106396756,0.11234484252997633,0.14678778877902096
Gateshead,0.07649657435088558,0.13363781314349304,0.19807487663342227
Gedling,0.13710293111839417,0.2024337479152001,0.28111917164961003
Gloucester,0.20507602715667747,0.29135069719753715,0.380789997406606
Gosport,0.07819245717069903,0.1276199140903556,0.16250931132569812
Gravesham,0.22429377406645212,0.3789094388023708,0.4865966746396809
Great Yarmouth,0.07408128584193632,0.1455575819318639,0.20747985627959556
Guildford,0.18876457049627107,0.2952802265977187,0.3786603390895525
Gwynedd,0.08168238986778119,0.12576841339827252,0.14436702422828354
Halton,0.06168402783196908,0.0869418693362411,0.13687207226740217
Hambleton,0.05046535025816761,0.08402941052296867,0.09876208846868678
Harborough,0.09643244839427391,0.15127468707881203,0.2308789087174806
Harlow,0.17851336710433668,0.3058369889009258,0.44322395624236133
Harrogate,0.10757843953865287,0.16570060793615882,0.18413775971701343
Hart,0.12265649282447731,0.18643310861749626,0.245399766026173
Hartlepool,0.053878724843499176,0.08418797202625032,0.1171041384169033
Hastings,0.13223447709838518,0.21305930515450816,0.2737299254649372
Havant,0.07445767604919773,0.11032568136900973,0.14768963880991764
Herefordshire,0.059945776453057605,0.12013949711671824,0.161066992136471
Hertsmere,0.26319744090591585,0.40773564525132355,0.5448437583243482
High Peak,0.07506421712947271,0.0963865749639762,0.11502872683154927
Hinckley and Bosworth,0.0846461496282182,0.12002197969220733,0.18573441498788335
Horsham,0.1155923261762114,0.16109508086713278,0.22739241408544233
Huntingdonshire,0.1408807828476154,0.2059972325219581,0.2686428727399274
Hyndburn,0.1705537640264848,0.23476229719943872,0.294751751122118
Ipswich,0.19300851126722504,0.3123115820391598,0.41314824592377614
Isle of Anglesey,0.0664264818604089,0.08202312588173723,0.08550121830749599
Isle of Wight,0.07723755430361859,0.11472789193683469,0.1325697083213169
Isles of Scilly,0.056306407340532,0.09999815764370693,0.12339019918560098
King's Lynn and West Norfolk,0.08849948765015177,0.14865312484508456,0.19918780609941758
Kingston upon Hull,0.0906042061684271,0.20384187943679274,0.2772211520259838
Kirklees,0.2749118004099572,0.36779040045333566,0.43784656266556254
Knowsley,0.06818977072082827,0.09528704994349223,0.16269365496279348
Lancaster,0.10782676001416945,0.17146171458417292,0.23218431735360992
Leeds,0.22426189590383808,0.3535396119987493,0.4540106166834401
Leicester,0.47007643497586094,0.6375094674677066,0.6869973731758174
Lewes,0.10803246783402627,0.15408575063616123,0.21365638537126602
Lichfield,0.08293807815090967,0.12237100591827255,0.16897120184260261
Lincoln,0.10521115115206432,0.20036697200056533,0.2909408556481813
Liverpool,0.1794929383414223,0.2970312297720898,0.39822084348825026
London,0.6100752101568966,0.7531593974215429,0.8111732691073006
Luton,0.5357850456758366,0.7365247869247581,0.8081828598047218
Maidstone,0.11580938936748889,0.20742981507249947,0.31049964952320347
Maldon,0.07831856688952296,0.09310856766009043,0.12635007111976995
Malvern Hills,0.07985379361705214,0.10657810254766872,0.13783265907216033
Manchester,0.44041095787636286,0.625024725907558,0.7088226415563824
Mansfield,0.077126753836121,0.1388228749406165,0.22375321382469876
Medway,0.16830540829292753,0.2790167212448335,0.3809466742908436
Melton,0.07544683599575543,0.10763955140235357,0.1433652657053466
Mendip,0.0802113624788179,0.11596108447160297,0.15661334360691415
Merthyr Tydfil,0.05635228100645116,0.11377097136662664,0.13423321406049085
Mid Devon,0.05976737252864727,0.08724382474842257,0.12107349527136746
Mid Suffolk,0.06362102341179976,0.09462879345149551,0.12831114101466884
Mid Sussex,0.13533678758588155,0.1924331070946419,0.2610627827645439
Middlesbrough,0.15585140393099536,0.26268903085231443,0.3529965846550359
Milton Keynes,0.2679414946398833,0.4443109697502661,0.5721032673469003
Mole Valley,0.14012696895021853,0.196369365196088,0.26108938642616963
Monmouthshire,0.06981612635252993,0.09183893598782678,0.1271386388438437
Neath Port Talbot,0.061936398114504965,0.07752990336986325,0.11636426632679936
New Forest,0.07445069357298302,0.11089297914939503,0.13792394180573178
Newark and Sherwood,0.07524956990079246,0.12117077468161613,0.16905971151451124
Newcastle-under-Lyme,0.08771058348752395,0.15194796338341732,0.20774209574591704
Newcastle upon Tyne,0.1963403678033243,0.3385087640958563,0.4374585490565984
Newport,0.15378986045958143,0.26200807134428955,0.3535054128650567
North Devon,0.06050141147741978,0.09405813188705132,0.12496419047633739
North East Derbyshire,0.05400916539373157,0.07574693626243405,0.09938129236020245
North East Lincolnshire,0.0641306511136308,0.10725180464520419,0.15205800673794498
North Hertfordshire,0.21218049266691771,0.29010824435000093,0.3397267603541898
North Kesteven,0.06666694822980485,0.09330878484401794,0.12415481229386258
North Lincolnshire,0.0966103422798518,0.1601465194250571,0.2115922903073303
North Norfolk,0.05503917058123049,0.07874105164007292,0.09724679555864892
North Northamptonshire,0.15314925439586394,0.2342751770942032,0.3253562759195497
North Somerset,0.07848285816629993,0.12678674939936585,0.18386016089120996
North Tyneside,0.07931619367958176,0.11616231572607542,0.16443890421146024
North Warwickshire,0.0689933943177205,0.09367511076146008,0.14485465258353586
North West Leicestershire,0.06537453614549314,0.10413161643668503,0.1592332472186368
Northumberland,0.04991073089138054,0.07012600666901071,0.0930165085203163
Norwich,0.14202888898111093,0.28361178951139915,0.3737990653797617
Nottingham,0.34293169935184303,0.5499715433346846,0.6334922101548401
Nuneaton and Bedworth,0.1306603277942412,0.21223442481935614,0.31683433250494253
Oadby and Wigston,0.28384741988997575,0.40418363026327714,0.5191621641533984
Oldham,0.2660724034455442,0.36935476171540194,0.48438741519460715
Oxford,0.3967413003465076,0.5521842029627931,0.6498393892548641
Pembrokeshire,0.07154218657500974,0.09437648000473307,0.1088640754932124
Pendle,0.22303952623359485,0.2929207028031776,0.36626426626890785
Peterborough,0.2662114451914675,0.4389130561159419,0.5551607975535573
Plymouth,0.08363927669134644,0.15099156061924404,0.2080538175355826
Portsmouth,0.17518621906823503,0.30374018103255773,0.38466200366096875
Powys,0.06110345666992613,0.08635816000080533,0.10986360820002318
Preston,0.281514752973231,0.3825982396711071,0.4890432126569146
Reading,0.35570767391637914,0.5440065646310722,0.6588373785848451
Redcar and Cleveland,0.0550798174348816,0.061232532089674836,0.08463444836013975
Redditch,0.15613848380318746,0.23934567949343113,0.3034889335502133
Reigate and Banstead,0.19332850207616248,0.2871377147222031,0.40218012854234075
Rhondda Cynon Taf,0.06418847560177568,0.09123641554483462,0.11372895048743771
Ribble Valley,0.08043778169124914,0.09734350242350712,0.1322855432485574
Richmondshire,0.07907449602672628,0.1435358739431632,0.15707319802913208
Rochdale,0.23870296860874538,0.3424168886354153,0.44540212523787903
Rochford,0.0789259624552938,0.10476586897122521,0.13795278476336814
Rossendale,0.1263306642001245,0.1665443955669598,0.19455120736486037
Rother,0.10266024666404411,0.12657526282444934,0.16897136071583777
Rotherham,0.09279018434533018,0.1681170554247685,0.22249117276401112
Rugby,0.18264084898143446,0.2888932250464698,0.4009062622133584
Runnymede,0.22939852099165306,0.342232209344728,0.43718195309809055
Rushcliffe,0.14697502807738724,0.19969276737369351,0.26926755452509643
Rushmoor,0.16072014975630614,0.33328866597996776,0.4460450095725594
Rutland,0.09919021145335648,0.12440640952409053,0.18327842381762285
Ryedale,0.053528816472398565,0.08197688041694472,0.10498497815548562
Salford,0.15923538414967695,0.2950073666457702,0.4309878784258632
Sandwell,0.3570533832739573,0.5265750336287803,0.6675595973870451
Scarborough,0.05785239564642571,0.10758151160523174,0.1316387505002865
Sedgemoor,0.05973108383489661,0.09867267284814597,0.1642719113232788
Sefton,0.08206058242205555,0.11685170728704794,0.16961241123460882
Selby,0.044804479040047744,0.09432630382341219,0.12188025360669155
Sevenoaks,0.11835349016893917,0.1771847604377021,0.2647024320351883
Sheffield,0.22253393724977497,0.3564723927590574,0.43401961698258573
Shropshire,0.06745076010346705,0.10216175905084446,0.14034245507877405
Slough,0.5532907547877342,0.7463166495009576,0.7775842910868688
Solihull,0.1815282390423756,0.2766725197422844,0.38900491504579876
Somerset West and Taunton,0.07603406039026514,0.12270803885912676,0.18171527936476303
South Cambridgeshire,0.1424916489951605,0.2380242912958405,0.34321044368695786
South Derbyshire,0.09473148156526827,0.1320180418369191,0.1976872719783844
South Gloucestershire,0.1000651889007161,0.1711751877933194,0.2664681968429692
South Hams,0.06868892096937167,0.09203548325988788,0.1204237582581187
South Holland,0.06848021520208758,0.16264968768960503,0.22877764695591138
South Kesteven,0.08081324615961126,0.13130532367617934,0.1828117932425053
South Lakeland,0.06001200515649937,0.09576432956636709,0.12527096442209731
South Norfolk,0.06741874158523507,0.10715777431207557,0.16803661941271983
South Oxfordshire,0.12718591340058688,0.17811574810021635,0.25742640342631257
South Ribble,0.08629056151876993,0.11013428751095719,0.15422561964601836
South Somerset,0.06613086634931176,0.10657313812546172,0.15973547893445975
South Staffordshire,0.07880060793437489,0.12013718294383814,0.16464636439801625
South Tyneside,0.08834044290111932,0.11701201732055866,0.1554398002745849
Southampton,0.23051462665032352,0.38309891186126466,0.48951809177212774
Southend-on-Sea,0.15761909006162433,0.25700721459977194,0.3398165289511398
Spelthorne,0.20711572775143092,0.3393278484898367,0.4811604919790814
St Albans,0.25553843019337574,0.3445100286986701,0.44383932475366233
St. Helens,0.059142619345855116,0.08341611075147175,0.1379916548387769
Stafford,0.10615861245835494,0.16279041262221713,0.20483646036713335
Staffordshire Moorlands,0.04542770636036033,0.06276031112450053,0.08160435016914035
Stevenage,0.18489333466033372,0.32070324701452796,0.4243285985422863
Stockport,0.15669909842612484,0.22651976282229191,0.3136918396195435
Stockton-on-Tees,0.09110488638146227,0.14659188072671112,0.1993722850578218
Stoke-on-Trent,0.138671265985058,0.26102243975104633,0.3667856069766683
Stratford-on-Avon,0.09114887766357944,0.13162230369530528,0.18968748395384316
Stroud,0.0832977138623552,0.10937551533744218,0.15383682601569224
Sunderland,0.07426680839386227,0.12277100252317392,0.15687193419553755
Surrey Heath,0.18998821343797248,0.28295303210294664,0.3820542791739471
Swale,0.09242238225012175,0.14355632142251581,0.2119098019082997
Swansea,0.10106662754881574,0.18367658966243278,0.24886537810159745
Swindon,0.18008889063380562,0.28682062373881356,0.41719316005239493
Tameside,0.1591120731198517,0.2313083215673314,0.3273423986038041
Tamworth,0.0839395450752584,0.11360250222187411,0.17680146156869048
Tandridge,0.14723828731969474,0.21225291885650652,0.30541434311922017
Teignbridge,0.06581173129874329,0.08609985760933192,0.10910249961092588
Telford and Wrekin,0.15304822339445232,0.21258168803787048,0.3096789712601441
Tendring,0.07705542780822287,0.10655127294262935,0.14274680604573112
Test Valley,0.09931842425829293,0.15585691451418227,0.2312582932730912
Tewkesbury,0.07958613849988116,0.12271653044870276,0.18573262225904832
Thanet,0.11279770543426812,0.18728910324291656,0.23816365663630004
Three Rivers,0.24490711918462071,0.35223189459740784,0.485948163875105
Thurrock,0.15870929710466983,0.3346977927935424,0.5083075880972088
Tonbridge and Malling,0.09366877177065513,0.15666431457217694,0.22514369069343226
Torbay,0.07538366436937168,0.11445920946240382,0.1596278157814937
Torfaen,0.054671489808746525,0.07609709006582113,0.10516418787949924
Torridge,0.05753284163115912,0.06803193643179191,0.08723287227030041
Trafford,0.2566238430653284,0.36117708234358814,0.4719651799674909
Tunbridge Wells,0.12680644500006383,0.2003932457776468,0.2826199794140586
Uttlesford,0.10534502014830117,0.15636183010511975,0.21260280472573187
Vale of Glamorgan,0.09885285884480594,0.1290343805422064,0.17178718509832172
Vale of White Horse,0.13871035882377344,0.2024670156988315,0.30241161095722124
Wakefield,0.08082768575378076,0.15272089846493062,0.22387443315077354
Walsall,0.2647207472688865,0.3907034242845264,0.5075330052854713
Warrington,0.09339880883537993,0.1529468835398591,0.22867615679775488
Warwick,0.2191234427107836,0.2971191061301108,0.3885340085162136
Watford,0.3686438541554454,0.5759212454728134,0.7152216034995947
Waverley,0.14460666319066284,0.18198413449371567,0.24333226467631877
Wealden,0.10328065534384395,0.12647361670513155,0.16321637754655724
Welwyn Hatfield,0.2257091798241031,0.40556997457166505,0.5086189656538338
West Berkshire,0.12980281086088893,0.19446458410542705,0.26656266001133155
West Devon,0.06361015674940523,0.0831695820175053,0.10767728720485417
West Lancashire,0.07246637975933162,0.09918488700940624,0.14569530075956663
West Lindsey,0.058866853089315614,0.08422701568212508,0.11783669057018542
West Northamptonshire,0.18905280117723863,0.3026890809134236,0.4048824076495962
West Oxfordshire,0.09835306409083595,0.15008617588639467,0.20432997112117673
West Suffolk,0.20410680181479723,0.24055396841298102,0.3009269609628193
Wigan,0.06234328714228911,0.1062822261577751,0.17095210478288997
Wiltshire,0.08918284889747506,0.14113406223720248,0.1988430576807546
Winchester,0.11457599233807733,0.16676676378775232,0.22440814427677525
Windsor and Maidenhead,0.2730951743831217,0.3782424068162448,0.4758953306112228
Wirral,0.08552167462219824,0.11722986582146978,0.1657093270503378
Woking,0.2816376363858417,0.40954074069840135,0.4963368868206654
Wokingham,0.2083809354392252,0.30338136616658246,0.4425259506128903
Wolverhampton,0.37137686293295197,0.5254589627296653,0.6147561651297149
Worcester,0.12945919835788872,0.21456489267974585,0.30600828421773596
Worthing,0.13097734838814076,0.21201960521331228,0.27697760578129293
Wrexham,0.06448292462185258,0.1425321993350633,0.17772620508950304
Wychavon,0.07405352140849929,0.11903182507114947,0.16534409199850947
Wyre,0.06041865826909279,0.0783940269784918,0.0996901076812125
Wyre Forest,0.08659442184167214,0.11260481614575077,0.1520978582482931
York,0.11028605916868195,0.19753724140323872,0.240211847895457
